what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405517805121
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405517806270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405517810216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405517814229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405517824154
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405517824424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405517826871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405517953495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405517994777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518023847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405518073210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405518116012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518123916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518124946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518125161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518126971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518127058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518128154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518131493
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405518134878
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405518134930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405518166726
